,Time of Observation,Delta R.A. [as] (0.01as error),Delta Dec. [as] (0.01as error),vz [km/s] (10km/s error)
0,2002-07-14 02:49:54.733,-0.026724151762221593,0.011459856831541134,-1621.7835772793483
1,2002-09-03 01:01:10.484,-0.03123253805894438,0.03822793621194362,-1826.994351261462
2,2002-05-05 02:51:39.185,-0.014285606498779215,-0.009398725176178525,1883.4270340984735
3,2002-06-24 20:40:45.605,-0.012694454405722057,0.0025253951580823048,-1335.791338190515
4,2002-05-29 17:46:03.135,-0.022596673022598705,-0.00198938489298707,-306.3691574535693
5,2002-05-20 14:29:15.365,-0.014484520026620075,-0.012099083399488005,357.7959355755185
6,2002-06-05 08:57:14.932,-0.013263090452928759,0.0056915793997402995,-676.7242008487638
7,2002-07-02 02:52:17.420,-0.028659977582404683,0.011024391673637614,-1492.7325022480115
8,2002-07-10 17:12:51.171,-0.029342644372199786,0.017377670135909122,-1604.756981788345
9,2002-08-03 13:36:57.281,-0.030138589472950925,0.02872619144536816,-1770.7617676299153
10,2003-07-14 11:35:10.375,-0.03584002285028709,0.08588788258349564,-1414.5939368889808
11,2003-08-28 03:33:37.796,-0.026817746672495882,0.094508169319664,-1391.367323040219
12,2003-06-08 10:15:38.828,-0.03851603429219484,0.08001277381148286,-1482.9456604475274
13,2003-09-29 12:51:43.278,-0.04354257503485612,0.0902281712448469,-1347.8233916800768
14,2003-05-09 16:45:39.764,-0.03602828288636118,0.06969868998802596,-1517.5958769761808
15,2003-08-25 16:06:57.164,-0.04128141564897678,0.08708349107672013,-1390.7311595268325
16,2003-07-14 03:58:17.154,-0.038694602219884924,0.07136731094895261,-1448.6238993682528
17,2003-08-06 21:41:47.518,-0.03257566091318131,0.0960982812955148,-1419.795841819563
18,2003-05-28 16:06:11.548,-0.04247478110223247,0.06897434808992987,-1496.7338874084712
19,2003-06-07 08:40:11.137,-0.03868033100196368,0.07852314897926409,-1494.2411473236782
20,2004-09-16 06:04:49.922,-0.03564144278839869,0.12056880022203148,-1059.8695634764456
21,2004-10-14 10:57:23.232,-0.02595735892453605,0.11466665740586858,-1046.4905163769556
22,2004-06-26 04:59:39.376,-0.031892349304708204,0.12012652576894939,-1101.2360686211143
23,2004-08-28 23:59:11.234,-0.036636332685287404,0.12421272747594057,-1081.0397274848428
24,2004-09-28 23:43:59.032,-0.032632800242964305,0.12733225048122823,-1025.4886039383568
25,2004-10-02 01:20:36.488,-0.0320439248469429,0.13110818682590358,-1048.21245585182
26,2004-05-18 18:11:34.952,-0.037206499194171946,0.11412645348631242,-1152.4883399516928
27,2004-05-11 00:21:58.750,-0.04012092514449435,0.1184259689619383,-1159.8454050916814
28,2004-06-02 00:47:00.911,-0.0408161732442633,0.1210339936751305,-1123.0690392150595
29,2004-09-29 06:49:03.810,-0.031698890256190625,0.12647906981499601,-1034.0404145975401
30,2005-05-21 14:41:54.631,-0.026031893451929793,0.14245244543095895,-906.4230020123688
31,2005-07-14 19:17:43.562,-0.011981533247886637,0.14966077249977705,-864.1517673033894
32,2005-10-12 22:18:42.723,-0.032676028796264696,0.15201184037132756,-820.5134410069185
33,2005-08-02 14:50:34.782,-0.022030345557804528,0.14879713533789451,-859.5581175804084
34,2005-08-29 06:23:17.524,-0.019965153835778737,0.13755623966306277,-841.189269032892
35,2005-06-27 01:48:06.917,-0.016850038865599427,0.14626787924827125,-869.6666302866512
36,2005-08-28 08:43:27.553,-0.009745911036204414,0.11727257736423229,-817.668160780727
37,2005-09-22 05:36:28.111,-0.025334704590140703,0.14999803792333263,-852.1889516639075
38,2005-05-08 04:05:40.341,-0.025065704822147233,0.14475192719581423,-903.5981994979969
39,2005-09-08 01:10:54.198,-0.03041536176981026,0.19593682257071257,-838.1692909131492
40,2006-10-18 03:06:52.718,-0.010716593915140538,0.16715279297048538,-635.0013189300473
41,2006-09-07 17:12:29.955,-0.00656041419361175,0.16873657507796327,-676.9220564376225
42,2006-06-21 04:28:37.598,-0.022202848848579794,0.15838929243595204,-726.1097583007678
43,2006-09-14 14:52:47.935,-0.0015435403809994884,0.1613781879436138,-641.3178989881334
44,2006-05-22 10:21:34.258,-0.00644539145276444,0.15911377778671318,-722.5972063603996
45,2006-07-19 07:13:54.311,-0.013667121044661884,0.15856588501615546,-679.0566147581812
46,2006-10-04 15:40:35.181,-0.006515141399285436,0.16625721015469305,-655.7696590228882
47,2006-06-23 09:32:51.260,-0.019973695936485035,0.13625668146245629,-698.6614478292208
48,2006-06-22 10:01:10.216,-0.016969881216886598,0.16180993790178452,-655.1830987900893
49,2006-05-26 22:21:47.283,-0.01320610592453948,0.154500948927173,-720.0825097905393
50,2007-05-08 08:26:27.936,0.002236985560141764,0.1639941369155867,-574.4143869207735
51,2007-08-27 01:50:08.389,-0.0011590348039728867,0.1712002898396698,-522.0951026146369
52,2007-06-09 15:10:35.962,-0.0036198780598306547,0.1676467977915349,-551.1483455638305
53,2007-06-18 16:26:48.547,-0.0018268172950290848,0.16991395481234092,-526.5656476496138
54,2007-07-26 15:14:35.529,0.0019166364076546108,0.17090687353524137,-519.8472129664333
55,2007-05-14 01:25:46.962,0.0038079529636547496,0.17063039030713964,-546.2183244047703
56,2007-08-09 11:51:51.491,-0.0029846420126586593,0.17946885547760505,-517.3947750215627
57,2007-05-29 17:39:26.876,0.00045496259173037233,0.17958643397041774,-544.1735863199237
58,2007-08-12 01:03:56.129,0.01209449536126775,0.13959192167533938,-511.24557069613326
59,2007-08-30 14:08:46.635,-0.008435214892043512,0.17284716938057076,-493.23493713760445
60,2008-05-21 16:03:24.098,0.0071299558862256765,0.18578784100547177,-402.3579213326093
61,2008-07-13 03:36:40.802,0.010208114481360147,0.17107568978437543,-399.5065287115029
62,2008-08-29 08:22:52.451,0.012144873553697465,0.16891929602890213,-355.4659355175502
63,2008-07-13 04:06:34.096,0.012500424934158786,0.18007125888183273,-383.8553150717433
64,2008-05-12 20:24:14.563,-0.0012517050333536277,0.17821079288535768,-419.2770189930198
65,2008-08-02 15:55:28.619,0.011741802095582834,0.1781765538647024,-378.79779913008116
66,2008-08-24 04:42:55.348,0.008793782799711262,0.17916932112958092,-378.7119364341398
67,2008-07-30 03:02:30.127,0.01996757753725974,0.19515498764622327,-357.50879587300835
68,2008-10-10 11:19:39.252,0.016274417054506524,0.17346138381693751,-354.50315294188755
69,2008-08-11 04:37:04.542,0.015453071513620902,0.1850979301774333,-397.340316343611
70,2009-10-03 18:44:54.088,0.05649253872582831,0.1808976413814719,-214.4540660982334
71,2009-05-28 04:22:05.044,0.02493361783174082,0.17574810919810707,-273.53184892761516
72,2009-05-28 11:37:40.688,0.018822956172618796,0.18902231647771958,-252.23296158428508
73,2009-09-17 15:51:50.173,0.024451097950459782,0.17344065737184564,-222.11964626454184
74,2009-07-10 20:52:42.896,0.016553104453315558,0.1763294743611345,-266.78861003670573
75,2009-06-01 20:42:40.582,0.02878613249295621,0.18080423560371137,-268.5011050594017
76,2009-10-07 19:53:18.872,0.011425097596428731,0.1726766284032612,-226.8658534279022
77,2009-07-02 11:45:26.310,0.021335854608726976,0.1767842500189198,-259.69315628736365
78,2009-09-08 03:52:20.823,0.027309294447650047,0.17799223494282693,-233.43175848819888
79,2009-09-03 23:52:53.334,0.013541270182340942,0.17690757513267016,-248.6283153589301
80,2010-09-30 09:46:12.810,0.034149651069219474,0.1783869536808816,-80.34731087627809
81,2010-08-17 19:32:58.292,0.03348324268449335,0.17776886573486178,-107.54445572522599
82,2010-09-08 04:23:51.476,0.03859606272759364,0.1689370759224331,-99.65452198788515
83,2010-07-02 16:19:14.732,0.038798990122117565,0.1721514706305314,-108.6285537679426
84,2010-06-19 10:06:05.158,0.03015931912279312,0.17666427120269917,-102.15552161529824
85,2010-10-02 12:27:47.177,0.02823359701820257,0.1736592218609707,-87.80054049413076
86,2010-07-15 23:26:10.531,0.039773319409529315,0.17140961468053503,-93.02998947974795
87,2010-10-14 02:19:10.034,0.02857642763392807,0.1643557036624025,-97.68314083570826
88,2010-08-24 11:48:13.895,0.025205053007612152,0.15127999661082342,-90.63946827383029
89,2010-08-17 11:35:06.267,0.03561438939607617,0.17165489486543692,-104.73134761234525
90,2011-05-24 08:46:49.341,0.04343839362488095,0.1728010904170362,7.723995127979967
91,2011-10-11 12:27:42.901,0.047989456225194155,0.15687459542851132,54.247989257248946
92,2011-07-19 15:21:57.359,0.04402576425813963,0.15931991455255792,24.675608331038784
93,2011-08-10 05:04:43.644,0.050597379658252395,0.16927803442283235,-4.038561311784058
94,2011-07-12 15:01:41.017,0.034132323062412734,0.16338996052981716,-29.208834199318993
95,2011-06-13 21:31:26.111,0.04727434777241104,0.16334091823870717,22.731505435218075
96,2011-10-03 18:39:29.218,0.04686408879775488,0.16389553102199558,84.2608098961672
97,2011-08-09 10:05:55.894,0.04245778694814952,0.16341356204557778,32.525432733818676
