# Table 2 
# Radial Velocities for HD 155358
#
#
# BJD - 2450000	Radial Velocity	Uncertainty
#               (m s^-1) (m s^-1)
2071.90483700	15.90	5.14	
2075.88682700	20.05	4.94	
2076.88985600	23.21	6.16	
2091.84643500	34.24	3.14	
2422.93714300	-5.59	4.38	
3189.83913000	-22.21	7.08	
3205.79562900	-8.55	3.01	
3219.75321500	0.01	4.32	
3498.77697700	38.45	2.94	
3507.95763400	35.30	7.35	
3507.96287000	35.35	5.72	
3511.95319500	34.61	3.07	
3512.93931400	43.01	5.29	
3590.73322900	-9.26	5.19	
3601.70090300	12.52	5.64	
3604.70193200	9.70	2.00	
3606.70299700	0.19	6.58	
3612.68403800	14.40	5.74	
3625.64546400	32.49	6.59	
3628.62430900	32.53	6.13	
3629.61946400	27.18	9.73	
3633.61627500	33.94	4.62	
3755.04213400	-61.50	7.92	
3758.04274400	-42.78	5.55	
3765.03555800	-37.91	8.84	
3769.02604800	-62.77	8.14	
3774.02174300	-60.84	8.97	
3779.97987100	-55.59	8.35	
3805.93069400	-23.17	6.60	
3808.89282200	-25.61	5.47	
3866.96427700	37.27	3.26	
3869.95498800	31.11	2.93	
3881.94511600	35.50	3.67	
3889.68235900	35.73	6.32	
3894.67240300	34.58	3.73	
3897.89540600	28.71	5.97	
3898.68534400	33.44	6.64	
3899.89225300	29.64	4.49	
3902.65793200	25.22	4.23	
3903.90645200	39.66	5.72	
3904.66233800	36.68	3.76	
3905.86023400	40.83	4.86	
3907.62941500	27.22	3.36	
3908.87691000	24.11	5.19	
3910.63980200	33.87	5.72	
3911.84525200	26.41	3.55	
3912.63613800	26.48	4.33	
3917.64144300	16.28	3.31	
3924.81885900	21.80	6.37	
3925.80799400	18.30	5.54	
3926.82465700	8.51	3.52	
3927.82203900	11.81	2.97	
3936.79096100	-1.16	2.34	
3937.79035200	-5.54	7.51	
3937.80465200	7.17	6.49	
3941.76239700	-4.15	4.90	
3943.76691400	-9.60	2.65	
3954.75689500	-14.66	4.44	
3956.73476700	-12.62	5.02	
3958.74755200	-10.15	3.92	
3960.71484300	-5.65	3.64	
3966.70814000	-7.53	4.04	
3971.69798700	-11.28	3.98	
3985.65146600	23.07	6.17	
3988.63745600	2.12	4.94	
3990.63945400	20.65	6.94	
3993.64492500	15.75	8.30	
4136.01098700	-51.82	7.94	
4137.00571500	-53.22	7.28	
4165.93375900	-65.36	4.93	
4167.92406700	-55.67	6.97	
4242.72348100	14.56	5.08	
4252.92738200	28.95	3.17	
4331.70165200	-0.03	5.67	
4341.67683000	-7.91	6.11	
4369.61238300	8.15	3.97	
4503.00826800	3.28	7.75	
4505.00883000	-14.65	6.71	
4517.96440000	-40.82	4.73	
4688.73045100	29.89	5.32	
4742.59078800	-20.34	4.44	
5018.84957500	11.69	6.21	
5230.01528700	33.11	3.56	
5261.94061600	21.80	3.57	
5281.88078900	-5.74	6.49	
5311.81103300	-43.71	8.13	
5333.96546600	-58.91	4.25	
5349.91269100	-45.15	7.05	
5369.85529100	-17.54	4.71	
5411.75132000	14.37	2.68	
5441.66382200	32.94	4.27	
5441.68951000	40.21	6.56	
5455.63610500	23.60	5.33	
5468.60493300	34.04	7.05	
5598.01915300	44.73	10.12	
5609.96969700	35.11	6.67	
5635.90270500	30.45	3.11	
5647.87224300	22.39	5.60	
5654.85070000	19.53	6.12	
5654.85347500	26.99	4.15	
5670.79410300	-9.55	6.76	
5670.79685700	-8.67	2.64	
5685.78224300	-36.44	2.97	
5685.78500500	-33.31	3.62	
5697.73042500	-51.99	7.66	
5697.73318400	-51.85	3.99	
5709.69993000	-58.87	5.08	
5709.70269600	-53.93	4.69	
5721.89536400	-59.79	7.32	
5721.89813000	-62.53	5.51	
5733.64282800	-52.33	3.59	
5733.64560600	-52.53	4.65	
5745.83215500	-33.58	4.35	
5745.83491700	-32.08	4.32	
5757.80163500	-22.31	4.89	
5757.80440100	-18.97	6.54	
5769.76209100	-9.53	7.54	
5769.76486400	-11.16	3.59	
5782.71759900	2.27	6.58	
5782.72037000	-0.97	5.78	
5794.70209000	10.86	6.73	
5794.70486500	15.27	5.42	
